Stadt;Fläche km2;Einwohner;PLZ;Längengrad;Breitengrad;Bundesland
Klinkrade;7.4;592;23898;10,55033;53,716092;Schleswig-Holstein
Koberg;11.98;792;23881;10,52596;53,639594;Schleswig-Holstein
Kühsen;7.28;358;23898;10,615824;53,682661;Schleswig-Holstein
Labenz;5.75;893;23898;10,524596;53,708352;Schleswig-Holstein
Lankau;19.12;474;23881;10,665636;53,667879;Schleswig-Holstein
Linau;9.66;1219;22959;10,46755;53,643933;Schleswig-Holstein
Lüchow;4.61;291;23898;10,529518;53,690744;Schleswig-Holstein
Nusse;6.22;1161;23896;10,575979;53,65908;Schleswig-Holstein
Panten;13.83;648;23896;10,61977;53,664571;Schleswig-Holstein
Poggensee;5.44;351;23896;10,579484;53,640102;Schleswig-Holstein
Ritzerau;11.11;298;23896;10,567545;53,663003;Schleswig-Holstein
Sandesneben;6.13;1859;23898;10,496793;53,68797;Schleswig-Holstein
Schiphorst;8.15;698;23847;10,461627;53,708361;Schleswig-Holstein
Schönberg;14.77;1444;22929;10,433054;53,677154;Schleswig-Holstein
Schürensöhlen;2.75;156;23847;10,47204;53,763455;Schleswig-Holstein
Siebenbäumen;8.82;599;23847;10,525162;53,749557;Schleswig-Holstein
Sirksfelde;8.62;331;23898;10,509773;53,66533;Schleswig-Holstein
Steinhorst;16.29;571;23847;10,48343;53,719989;Schleswig-Holstein
Stubben;5.33;371;23847;10,43068;53,732928;Schleswig-Holstein
Walksfelde;3.51;207;23896;10,575101;53,631901;Schleswig-Holstein
Wentorf (Amt Sandesneben);4.99;716;23898;10,474911;53,67663;Schleswig-Holstein
Sachsenwald (Forstgutsbez.);58.49;0;21521;10,373262;53,530995;Schleswig-Holstein
Friedrichstadt;4.02;2593;25840;9,087943;54,37346;Schleswig-Holstein
Husum;25.8;23478;25813;9,057178;54,477143;Schleswig-Holstein
Reußenköge;45.91;323;25821;8,883096;54,620428;Schleswig-Holstein
Tönning;44.43;4908;25832;8,941868;54,31662;Schleswig-Holstein
Sylt;57.31;13741;25980;8,30875;54,90786;Schleswig-Holstein
Garding;14.89;330;25836;8,78356;54,317383;Schleswig-Holstein
Garding;3.06;2753;25836;8,778217;54,327962;Schleswig-Holstein
Grothusenkoog;3.27;26;25836;8,759033;54,302739;Schleswig-Holstein
Katharinenheerd;8.41;158;25836;8,828074;54,335199;Schleswig-Holstein
Kotzenbüll;7.77;182;25832;8,907487;54,333778;Schleswig-Holstein
Norderfriedrichskoog;5.31;43;25870;8,893583;54,400271;Schleswig-Holstein
Oldenswort;45.84;1281;25870;8,942989;54,372281;Schleswig-Holstein
Osterhever;18.5;223;25836;8,765219;54,385302;Schleswig-Holstein
Poppenbüll;15.52;226;25836;8,761168;54,361585;Schleswig-Holstein
Sankt Peter-Ording;28.35;3951;25826;8,640495;54,302281;Schleswig-Holstein
Tating;29.49;974;25881;8,708512;54,325497;Schleswig-Holstein
Tetenbüll;36.42;611;25882;8,828234;54,352013;Schleswig-Holstein
Tümlauer Koog;6.2;99;25881;8,689757;54,348337;Schleswig-Holstein
Vollerwiek;4.62;225;25836;8,794694;54,290681;Schleswig-Holstein
Welt;8.2;186;25836;8,79406;54,302402;Schleswig-Holstein
Westerhever;13.32;99;25881;8,67563;54,382315;Schleswig-Holstein
Hörnum (Sylt);5.64;895;25997;8,287218;54,756098;Schleswig-Holstein
Kampen (Sylt);8.43;473;25999;8,342294;54,955508;Schleswig-Holstein
List auf Sylt;18.42;1557;25992;8,436183;55,020026;Schleswig-Holstein
Wenningstedt-Braderup (Sylt);6.16;1623;25996;8,319785;54,931063;Schleswig-Holstein
Ahrenviöl;10.11;518;25885;9,206895;54,531254;Schleswig-Holstein
